127.0.0.1 - - [05/Nov/2020:08:41:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:41:51 +0900] "GET /Fromme/app/board/boardList.jsp HTTP/1.1" 200 10502
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:41:51 +0900] "GET /Fromme/app/assets/css/board-imagelist-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:41:51 +0900] "GET /Fromme/app/assets/css/board-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:41:51 +0900] "GET /Fromme/app/assets/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:41:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:42:31 +0900] "GET /Fromme/board/BoardList.bo?cat=1 HTTP/1.1" 200 20111
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:43:35 +0900] "GET /Fromme/app/board/test.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:43:59 +0900] "GET /Fromme/app/board/test.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:47:12 +0900] "GET /Fromme/board/BoardList.bo?cat=1 HTTP/1.1" 200 20111
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:47:14 +0900] "GET /Fromme/board/BoardWrite.bo?cat=1&catname=%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD&page=1 HTTP/1.1" 200 11820
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:47:14 +0900] "GET /Fromme/app/assets//css/board-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:47:14 +0900] "GET /Fromme/app/assets/js/summernote/summernote-lite.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:08:47:20 +0900] "GET /Fromme/board/BoardWrite.bo?cat=1&catname=%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD&page=1 HTTP/1.1" 200 11820
